"","sample.id","date","location","inshore.offshore","replicate","taxon.code","species.name.field","species.name.revised","group","8","5.6","4","2.8","2","1.4","1","0.71","0.5","notes","year","month","day"
"1",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"A. longimina","Ampithoe longimana","Crustacean",0,0,0,0,1,0,0,0,0,NA,"2007","03","13"
"2",NA,2007-03-13,"Goodwin's","Offshore","B1",NA,"A. valida","Ampithoe valida","Crustacean",0,0,0,0,1,0,0,0,0,NA,"2007","03","13"
"3",NA,2007-03-13,"Goodwin's","Inshore","E1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,0,2,0,0,NA,"2007","03","13"
"4",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"Bittium","Bittiolum varium","Mollusc",0,0,0,0,0,0,1,0,0,NA,"2007","03","13"
"5",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"C. equilibria","Caprella equilibra","Caprellid",0,0,0,0,1,1,0,0,0,NA,"2007","03","13"
"6",NA,2007-03-13,"Goodwin's","Inshore","A1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,0,1,1,0,0,NA,"2007","03","13"
"7",NA,2007-03-13,"Goodwin's","Offshore","B1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,0,2,5,0,0,0,NA,"2007","03","13"
"8",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,2,4,4,2,0,1,NA,"2007","03","13"
"9",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"C. penantis","Caprella penantis","Caprellid",0,0,0,1,7,14,2,0,0,NA,"2007","03","13"
"10",NA,2007-03-13,"Goodwin's","Offshore","A1",NA,"Caprella penantis","Caprella penantis","Caprellid",0,0,0,0,0,1,2,0,0,NA,"2007","03","13"
"11",NA,2007-03-13,"Goodwin's","Offshore","D1",NA,"Caprella penantis","Caprella penantis","Caprellid",0,0,0,0,0,4,0,0,0,NA,"2007","03","13"
"12",NA,2007-03-13,"Goodwin's","Offshore","A1",NA,"Corophium","Corophium sp.","Crustacean",0,0,0,0,0,1,1,0,0,NA,"2007","03","13"
"13",NA,2007-03-13,"Goodwin's","Offshore","C1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,0,1,1,0,0,0,NA,"2007","03","13"
"14",NA,2007-03-13,"Goodwin's","Offshore","E1",NA,"crepidula","Crepidula fornicata","Mollusc",0,0,0,0,1,1,0,4,0,NA,"2007","03","13"
"15",NA,2007-03-13,"Goodwin's","Offshore","A1",NA,"Crepidulids","Crepidula fornicata","Mollusc",0,0,0,0,0,0,1,0,0,NA,"2007","03","13"
