"","year","month","day","Temp","Sal","DO_mgl","pH","Turb"
"1",2007,1,1,10.6479166666667,14.3739583333333,NA,8.15208333333333,12.9270833333333
"2",2007,1,2,10.4416666666667,13.73125,NA,8.11041666666667,15.7395833333333
"3",2007,1,3,9.9625,12.44375,NA,8.28333333333333,11.9791666666667
"4",2007,1,4,10.5697916666667,14.684375,11.7234042553191,8.28854166666667,6.64583333333333
"5",2007,1,5,11.4072916666667,18.0375,10.76875,8.22916666666667,1
"6",2007,1,6,12.459375,17.86875,10.4041666666667,8.21041666666667,1.33333333333333
"7",2007,1,7,11.8510416666667,17.5635416666667,10.2666666666667,8.18020833333333,2.19791666666667
"8",2007,1,8,12.20625,17.4645833333333,10.1041666666667,8.18541666666667,1.79166666666667
"9",2007,1,9,10.371875,16.8364583333333,10.3375,8.20729166666667,2.0625
"10",2007,1,10,8.259375,15.8916666666667,10.865625,8.240625,3.40625
"11",2007,1,11,7.303125,14.1947916666667,11.403125,8.30104166666667,8.5
"12",2007,1,12,8.68541666666667,15.5125,10.9489583333333,8.2625,2.34375
"13",2007,1,13,10.0114583333333,15.83125,10.596875,8.28333333333333,1.33333333333333
"14",2007,1,14,10.5,16.14375,10.3729166666667,8.30833333333333,1.14583333333333
"15",2007,1,15,11.153125,16.703125,9.84270833333333,8.30729166666667,1.53125
"16",2007,1,16,11.0104166666667,17.36875,9.09375,8.22916666666667,5.01041666666667
"17",2007,1,17,7.69895833333333,16.00625,9.53645833333333,8.14479166666667,11.5625
"18",2007,1,18,7.14270833333333,16.5333333333333,9.93645833333333,8.17291666666667,4.05208333333333
"19",2007,1,19,7.87083333333333,17.309375,10.3729166666667,8.18958333333333,1.92708333333333
"20",2007,1,20,6.97708333333333,17.2354166666667,10.7041666666667,8.18333333333333,2.4375
"21",2007,1,21,4.18645833333333,17.2083333333333,11.215625,8.06770833333333,5.20833333333333
"22",2007,1,22,5.65208333333333,17.4927083333333,10.8614583333333,8.08229166666667,3.35416666666667
"23",2007,1,23,6.63333333333333,17.66875,10.9833333333333,8.19791666666667,2.11458333333333
"24",2007,1,24,5.934375,17.9416666666667,11.4479166666667,8.221875,1.91666666666667
"25",2007,1,25,6.10520833333333,17.953125,11.7604166666667,8.30416666666667,1.75789473684211
"26",2007,1,26,4.48854166666667,17.9208333333333,11.503125,8.24479166666667,3.40625
"27",2007,1,27,5.48020833333333,17.9302083333333,11.45625,8.22395833333333,2.64583333333333
"28",2007,1,28,6.31041666666667,17.8197916666667,11.36875,8.27395833333333,3.64583333333333
"29",2007,1,29,4.66979166666667,17.6489583333333,11.296875,8.2125,4.69791666666667
"30",2007,1,30,4.91354166666667,17.990625,11.4979166666667,8.25625,2.5
"31",2007,1,31,4.23854166666667,18.2666666666667,11.5135416666667,8.28229166666667,3.3125
"32",2007,2,1,4.209375,18.2875,11.5260416666667,8.31979166666667,2.30208333333333
"33",2007,2,2,4.70416666666667,18.259375,11.440625,8.33125,2.53125
"34",2007,2,3,5.003125,18.6166666666667,11.0135416666667,8.325,2.05208333333333
"35",2007,2,4,4.44479166666667,18.7869565217391,10.62,8.35625,2.5625
"36",2007,2,5,2.82345679012346,18.977380952381,NA,8.30823529411765,3.31764705882353
"37",2007,2,6,1.98103448275862,18.93125,NA,8.30615384615385,3.03076923076923
"38",2007,2,7,2.446875,18.8927083333333,NA,8.27916666666667,4.34375
"39",2007,2,8,2.746875,18.3072916666667,12.9392156862745,8.2625,3.57291666666667
