"","ID","sample.id","date","location","inshore.offshore","replicate","taxon.code","species.name.field","species.name.revised","Tin","Tin+Dry","Tin+Ash","dm","afdm","year","month","day"
"1",2154,300,2007-03-13,"Goodwin's","Inshore","A1",300,"zostera","Zostera marina blades",NA,NA,NA,0.9497,0.7457,"2007","03","13"
"2",2156,300,2007-03-13,"Goodwin's","Inshore","B1",300,"zostera","Zostera marina blades",NA,NA,NA,1.0127,0.792,"2007","03","13"
"3",2158,300,2007-03-13,"Goodwin's","Inshore","C1",300,"zostera","Zostera marina blades",NA,NA,NA,1.7432,1.1509,"2007","03","13"
"4",2160,300,2007-03-13,"Goodwin's","Inshore","D1",300,"zostera","Zostera marina blades",NA,NA,NA,1.3693,1.0907,"2007","03","13"
"5",2162,300,2007-03-13,"Goodwin's","Inshore","E1",300,"zostera","Zostera marina blades",NA,NA,NA,0.9214,0.7643,"2007","03","13"
"6",2164,301,2007-03-13,"Goodwin's","Offshore","A1",300,"zostera","Zostera marina blades",NA,NA,NA,2.073,1.5462,"2007","03","13"
"7",2166,301,2007-03-13,"Goodwin's","Offshore","B1",300,"zostera","Zostera marina blades",NA,NA,NA,1.8218,1.3527,"2007","03","13"
"8",2168,301,2007-03-13,"Goodwin's","Offshore","C1",300,"zostera","Zostera marina blades",NA,NA,NA,2.8904,1.8804,"2007","03","13"
"9",2170,301,2007-03-13,"Goodwin's","Offshore","D1",300,"zostera","Zostera marina blades",NA,NA,NA,2.9767,1.6728,"2007","03","13"
"10",2172,301,2007-03-13,"Goodwin's","Offshore","E1",300,"zostera","Zostera marina blades",NA,NA,NA,1.3346,0.8472,"2007","03","13"
"11",2174,302,2007-04-24,"Goodwin's","Inshore","A1",300,"zostera","Zostera marina blades",NA,NA,NA,4.7839,3.8499,"2007","04","24"
"12",2176,302,2007-04-24,"Goodwin's","Inshore","B1",300,"zostera","Zostera marina blades",NA,NA,NA,3.167,2.2459,"2007","04","24"
"13",2178,302,2007-04-24,"Goodwin's","Inshore","C1",300,"zostera","Zostera marina blades",NA,NA,NA,2.6592,2.171,"2007","04","24"
"14",2180,302,2007-04-24,"Goodwin's","Inshore","D1",300,"zostera","Zostera marina blades",NA,NA,NA,3.3638,2.2795,"2007","04","24"
"15",2182,302,2007-04-24,"Goodwin's","Inshore","E1",300,"zostera","Zostera marina blades",NA,NA,NA,6.2612,4.9051,"2007","04","24"
"16",2184,303,2007-04-24,"Goodwin's","Offshore","A1",300,"zostera","Zostera marina blades",NA,NA,NA,5.4306,4.0868,"2007","04","24"
"17",2186,303,2007-04-24,"Goodwin's","Offshore","B1",300,"zostera","Zostera marina blades",NA,NA,NA,6.2432,4.5995,"2007","04","24"
"18",2188,303,2007-04-24,"Goodwin's","Offshore","C1",300,"zostera","Zostera marina blades",NA,NA,NA,4.58,3.3968,"2007","04","24"
"19",2190,303,2007-04-24,"Goodwin's","Offshore","D1",300,"zostera","Zostera marina blades",NA,NA,NA,3.6365,2.7773,"2007","04","24"
"20",2192,303,2007-04-24,"Goodwin's","Offshore","E1",300,"zostera","Zostera marina blades",NA,NA,NA,3.7152,2.8514,"2007","04","24"
"21",2194,304,2007-05-15,"Goodwin's","Inshore","A1",300,"zostera","Zostera marina blades",NA,NA,NA,6.8059,5.0057,"2007","05","15"
"22",2196,304,2007-05-15,"Goodwin's","Inshore","B1",300,"zostera","Zostera marina blades",NA,NA,NA,7.8847,4.6116,"2007","05","15"
"23",2198,304,2007-05-15,"Goodwin's","Inshore","C1",300,"zostera","Zostera marina blades",NA,NA,NA,6.062,4.3371,"2007","05","15"
